S87-VII-PROP-LANDING-A: PASS -- value='un_bundled_rho=0.000000;naive_rho=0.707107;sub_principle=P_MB_P_CM_un-bundling' scheme='structural-orthogonality-on-4-regulator-atlas' convention='regulator-pin-discipline+regulator-convention-lockdown' L_max=N/A audit_sha256=ec1afec5f58eae2cb43eedfac3af3c71703b261c93c4349cd4b3cb38c1c0a763 content_sha256=b25c0c568f2282c3a42634e2392c17dfa129c6e0076c2887eeb55e723f9e3dbf schema_version=S87+
S87-FINITE-SPECTRUM-MELLIN-DIRICHLET-IDENTITY-LANDING: PASS -- value='LHS=RHS_bit_exact_at_s=[3, 4, 5];rel_diff=[0.000e+00, 0.000e+00, 0.000e+00];n_distinct=74174;n_full_spectrum=31956720' scheme=Mellin-Dirichlet-finite-spectrum convention=substrate-first-Lmax12-cache L_max=12 audit_sha256=8db06ea8f240307f97a849ac5d4394b4d1efa2f6fff7659119d6b91bc0c66438 content_sha256=06fde175b46f9eac7931763e8c47fdf56806684ae7e0547cc9a70d9805a1ba35 schema_version=S84+
# audit_sha256_short=8db06ea8f240307f content_sha256_short=06fde175b46f9eac # S87-FINITE-SPECTRUM-MELLIN-DIRICHLET-IDENTITY-LANDING dual-SHA companion row (W9a-99 split)
S87-W3-PER-EVAL-FINITENESS-PRE-REG: FAIL -- value='apex=4.1383e+02_AND_rho_fit_residual=1.0747e-03_AND_poly_deg=4_AND_registry_appended=False' scheme=Mellin-cone-substrate-distance-1+rho-fit-MB-lower-half convention=substrate-first-W0-20+W0-7-MB L_max=10 audit_sha256=9fe27a159784ff834202a8b5a424ce876e997b7e12f80617945730be829f29d8 content_sha256=5ed1436447af7ea8fb676a3b633d188b0852830db414745b6fd39808f4220097 schema_version=S84+
# audit_sha256_short=9fe27a159784ff83 content_sha256_short=5ed1436447af7ea8 # S87-W3-PER-EVAL-FINITENESS-PRE-REG dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S87-W3-PER-EVAL-FINITENESS-PRE-REG 3-tuple annotation (S87 schema-v2)
S87-A0-R-PROTECTION-FAILURE-IS-M2-AXIOM-FAILURE-LANDING: FAIL -- value='biconditional_PASS_3_of_4_perturbations;panel=[P1=P,P2=P,P3=P,P4=F];slot=§VII.W-2;reroute_fired=true' scheme=A_F-CxC-toy-2eigenvalue convention=NCG-axiom-2-first-order-condition L_max=2 audit_sha256=87f81b3c18c11c5ce062d7472a5fb3639693b8d3c220888b056ba815906acc5b content_sha256=b3701b52e5e67601db44ebb6c36873f21b879bca8342dbee94a92100b1c383fc schema_version=S87+
# audit_sha256_short=87f81b3c18c11c5c content_sha256_short=b3701b52e5e67601 # S87-A0-R-PROTECTION-FAILURE-IS-M2-AXIOM-FAILURE-LANDING dual-SHA companion row (W9a-99 split); slot_target_planned=§VII.W slot_landed=§VII.W-2 reroute_fired=true reroute_reason='§VII.W occupied by S86-1a-S7-Parity-Grading-Orthogonality' reroute_protocol='S84-W2a-11-next-free-letter'
# sign_verdict=FAIL magnitude_verdict=INFO regime_verdict=VALID # S87-A0-R-PROTECTION-FAILURE-IS-M2-AXIOM-FAILURE-LANDING 3-tuple annotation (S87 schema-v2)
S87-W3-PER-EVAL-FINITENESS-PRE-REG: INFO -- value='apex=4.1383e+02_AND_rho_fit_residual=1.1878e-04_AND_poly_deg=4_AND_registry_appended=True' scheme=Mellin-cone-substrate-distance-1+rho-fit-MB-lower-half convention=substrate-first-W0-20+W0-7-MB L_max=10 audit_sha256=9fe27a159784ff834202a8b5a424ce876e997b7e12f80617945730be829f29d8 content_sha256=b06b56aa11281e1f42abb153a59ed8a0ac08edab7e1a0765ff78229e3649a833 schema_version=S84+
# audit_sha256_short=9fe27a159784ff83 content_sha256_short=b06b56aa11281e1f # S87-W3-PER-EVAL-FINITENESS-PRE-REG dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=INFO regime_verdict=VALID # S87-W3-PER-EVAL-FINITENESS-PRE-REG 3-tuple annotation (S87 schema-v2)
S87-M2-STRUCTURAL-SOURCE-FOR-LAMBDA-SA-FINITE-L-RESIDUAL-LANDING: FAIL -- value='sha_harvest_2_of_6_anchors_available_necessity_6_of_6_OK_converse_failure_1' scheme=meta-aggregation-6-anchors convention=NCG-M2-Lambda-SA-finite-L-residual L_max=mixed audit_sha256=fa225aac6eee7456536782a0715d7f03dcfc218ac470f55005f260bc0cba9815 content_sha256=18b78dfa1624c6ec6646cdd403d4f6ae87cd4dfba18ebbec9f7dd3acd31e2c75 schema_version=S87+
# audit_sha256_short=fa225aac6eee7456 content_sha256_short=18b78dfa1624c6ec # S87-M2-STRUCTURAL-SOURCE-FOR-LAMBDA-SA-FINITE-L-RESIDUAL-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=MARGINAL # S87-M2-STRUCTURAL-SOURCE-FOR-LAMBDA-SA-FINITE-L-RESIDUAL-LANDING 3-tuple annotation (S87 schema-v2)
S87-PV-SUBTRACTION-RECALIBRATION: FAIL -- value=1.291633507970043e-06 scheme=Pauli-Villars-finite-L convention=substrate-mass-scale-M_KK L_max=12 audit_sha256=e592ea320989488f31f0fb0da49494a0f278a3981adfc650a5a34a6271e03b9f content_sha256=7614e1d4afa854393fd24ce14823fd9383086a4ec38cef9d3a3b3aa2de1054f9 schema_version=S84+
# audit_sha256_short=e592ea320989488f content_sha256_short=7614e1d4afa85439 # S87-PV-SUBTRACTION-RECALIBRATION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S87-PV-SUBTRACTION-RECALIBRATION 3-tuple annotation (S87 schema-v2)
S87-D-EFF-ANCHOR-VERIFICATION: FAIL -- value=2.2868500573820825 scheme=Weyl-counting-function-fit convention=substrate-stratum-partition-V4 L_max=12 audit_sha256=761c70a481997e59b4a301cdaf5c981085d722ab40ed83f820e12c9170d9480e content_sha256=7abe12347c7c19cde0fbbf94c9fcefdb7468d432c83dda98155f4b3568be7c69 schema_version=S84+
# audit_sha256_short=761c70a481997e59 content_sha256_short=7abe12347c7c19cd # S87-D-EFF-ANCHOR-VERIFICATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S87-D-EFF-ANCHOR-VERIFICATION 3-tuple annotation (S87 schema-v2)
S87-PAIRED-SLOT-RATIO-INTERPRETATION: INFO -- value='min_class_residual=3.4506e-05;A_res=4.9318e-02;B_res=3.4506e-05;C_min_res=4.9318e-02;C_min_name=C6_V4_pair_orders_S86_W12;sub_class=INFO_CLASS_B_NEAR_UNIQUE_GAP_A,C' scheme=4-class-paired-slot-classification convention=substrate-paired-slot-w1b-T5-anchor L_max=12 audit_sha256=98b84eed7716f83127b75d16103f48554d404f49c0cf13fd0fd679ba59643264 content_sha256=210aeb536228a2cf2cec285915b037b1c49f8a19ca743bd7f0f8ac999c180555 schema_version=S87+
# audit_sha256_short=98b84eed7716f831 content_sha256_short=210aeb536228a2cf # S87-PAIRED-SLOT-RATIO-INTERPRETATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S87-PAIRED-SLOT-RATIO-INTERPRETATION 3-tuple annotation (S87 schema-v2)
S87-PS-AF-RECALIBRATION-DIAGNOSTIC: INFO -- value=1.0050313794322645 scheme=Pati-Salam-finite-triple-recalibration convention=A_F-M2H-M4C L_max=10 audit_sha256=2fad230d941a352c535518083ba78f4c17e432943a0d111abe5bfe8000aacedc content_sha256=161f3c358e3eb71f8f69df12bfac6383cfea84087eb33131908aa0951522afd3 schema_version=S84+
# audit_sha256_short=2fad230d941a352c content_sha256_short=161f3c358e3eb71f # S87-PS-AF-RECALIBRATION-DIAGNOSTIC dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S87-PS-AF-RECALIBRATION-DIAGNOSTIC 3-tuple annotation (S87 schema-v2)
S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO -- value=inf scheme=Connes-distance-finite-spectrum-identity-conjecture convention=substrate-state-pair-canonical L_max=12 audit_sha256=bdb729be5c33cd23f4f99615973d1b667b15558a358260684b65b521690b6858 content_sha256=c72a3159e3a702f37228cc45a895145663a67e8d1421b9a9b1224c0c102844d5 schema_version=S84+
# audit_sha256_short=bdb729be5c33cd23 content_sha256_short=c72a3159e3a702f3 # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=MARGINAL # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE 3-tuple annotation (S87 schema-v2)
S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO -- value=inf scheme=Connes-distance-finite-spectrum-identity-conjecture convention=substrate-state-pair-canonical L_max=12 audit_sha256=f96438c95422a4f02a262e6f9102defcf342c2e05e31771a02c018b8e29f6a58 content_sha256=9ead445340f4abc33b51ee9eca8a19e6cb1fcc86b4d904044122de9314fb2e44 schema_version=S84+
# audit_sha256_short=f96438c95422a4f0 content_sha256_short=9ead445340f4abc3 # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=MARGINAL # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE 3-tuple annotation (S87 schema-v2)
S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO -- value=inf scheme=Connes-distance-finite-spectrum-identity-conjecture convention=substrate-state-pair-canonical L_max=12 audit_sha256=79731e4f53e8fec2e0dd538eddbe7a490f1be52f974a4611933f5efe65d606f0 content_sha256=3aee21b27ce65a671b6f3ea49a0d22553e5cde72a8419f20d3634633dcdd66a1 schema_version=S84+
# audit_sha256_short=79731e4f53e8fec2 content_sha256_short=3aee21b27ce65a67 # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=MARGINAL # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE 3-tuple annotation (S87 schema-v2)
S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO -- value=0.9800418463588636 scheme=Connes-distance-finite-spectrum-identity-conjecture convention=substrate-state-pair-canonical L_max=12 audit_sha256=cb9c6fb680b84af5cd891752266df01a53759023f0fb55310c575f169f7ab0a8 content_sha256=8bead90ae4bb2e3124aa4029d36796963b2f16c17f46e451be2997774cb6167d schema_version=S84+
# audit_sha256_short=cb9c6fb680b84af5 content_sha256_short=8bead90ae4bb2e31 # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=MARGINAL # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE 3-tuple annotation (S87 schema-v2)
S87-VII-SLOT-ALLOC-AUDIT-CLASS-F-EXT: PASS -- value='class_f_extension_landed_class_a_count_9_class_f_count_0' scheme=vii_slot_allocation_audit_v2 convention=6-class-taxonomy-extended-A-through-F L_max=N/A audit_sha256=b1f3e5497409105787fa45290c4a8fd2e2665883213a349171e1f888bdba3607 content_sha256=8059afc00b33ab7650db2776bb48d222311968f256fbc8c5685ae4702f261e04 schema_version=S87+
# audit_sha256_short=b1f3e54974091057 content_sha256_short=8059afc00b33ab76 # S87-VII-SLOT-ALLOC-AUDIT-CLASS-F-EXT dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-VII-SLOT-ALLOC-AUDIT-CLASS-F-EXT 3-tuple annotation (S87 schema-v2)
S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO -- value=0.9800418463588636 scheme=Connes-distance-finite-spectrum-identity-conjecture convention=substrate-state-pair-canonical L_max=12 audit_sha256=b3652c276acec8e1b24dd18de8f303c24329c33cc9b95f25e0b60095acb98ca5 content_sha256=1472a38026de3eed80da540e18b8bd59a27f14a3ed100e793cd378bb5ac00f7e schema_version=S84+
# audit_sha256_short=b3652c276acec8e1 content_sha256_short=1472a38026de3eed # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE 3-tuple annotation (S87 schema-v2)
S87-LMAX-WEYL-CONVERGENCE-SWEEP: FAIL -- value=0.005676508545175096 scheme=Richardson-extrapolation-3-point convention=substrate-L-axis-asymptotic L_max=14 audit_sha256=baba6c0d78b86db5e6db8e93fbe4463ed24d2d0ed5dc8e0f23d98d14f5479142 content_sha256=f1bb16809e495b7cde92f02ae931931f627a648289fc22cec1b950f0477d348d schema_version=S84+
# audit_sha256_short=baba6c0d78b86db5 content_sha256_short=f1bb16809e495b7c # S87-LMAX-WEYL-CONVERGENCE-SWEEP dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S87-LMAX-WEYL-CONVERGENCE-SWEEP 3-tuple annotation (S87 schema-v2)
S87-LMAX-WEYL-CONVERGENCE-SWEEP: FAIL -- value=2.495275927216767e-06 scheme=Richardson-extrapolation-3-point convention=substrate-L-axis-asymptotic L_max=14 audit_sha256=40448d69279dad871c9fbcdbc710ae74ecdf17ad385aae4fb281650ae1064e9b content_sha256=0ecc3935f20665acd40e96d3c7f8ef0ec5050c1d2678e0ff67fc9ba9fb433485 schema_version=S84+
# audit_sha256_short=40448d69279dad87 content_sha256_short=0ecc3935f20665ac # S87-LMAX-WEYL-CONVERGENCE-SWEEP dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S87-LMAX-WEYL-CONVERGENCE-SWEEP 3-tuple annotation (S87 schema-v2)
S87-W1B-HK-5-PV-CONTINUUM-POLE-RECONCILIATION: PASS -- value=1.719433308178253e-05 scheme=richardson_L_minus_3 convention=ConvB_D2_spectrum L_max=14 audit_sha256=e2f924e52689630bb3a24905c197f90ebe1c7d957e28219ec4881259f8d6539a content_sha256=0941f40bb3d70622545ed81b40b8dcd104d4b92ea86f9dcadd6d837bc2e08f5b schema_version=S84+
# audit_sha256 companion row: S87-W1B-HK-5-PV-CONTINUUM-POLE-RECONCILIATION audit=e2f924e52689630b content=0941f40bb3d70622 best_form='1.719433e-05' schema_version=S84+
S87-W1B-HK-2-WINDOWED-PV-EXPLORATION: FAIL -- value='A_resid=-1.7670e+06;B_resid=-1.7660e+06;C_resid=-1.8359e+06;composite=FAIL;A=FAIL;B=FAIL;C=FAIL' scheme=windowed-PV-3-scheme-comparison convention=substrate-mass-scale-M_KK L_max=12 audit_sha256=dbef06c4239eb1031dae1df5c359dfb379439af14e2ec3f10ebf74c44bf35867 content_sha256=d9e514f50895bd33ea3a86dccb2a9ff6649b6478ab1942665e39f32a3e14e7be schema_version=S84+
# audit_sha256_short=dbef06c4239eb103 content_sha256_short=d9e514f50895bd33 # S87-W1B-HK-2-WINDOWED-PV-EXPLORATION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S87-W1B-HK-2-WINDOWED-PV-EXPLORATION 3-tuple annotation (S87 schema-v2)
S87-W1B-HK-3-D-EFF-CONVENTION-AUDIT: PASS -- value='PASS-canonical' scheme=convention-classification-of-s28c-citations convention=Conv-A-2slope-vs-Conv-B-slope-vs-bare-manifold-dim L_max=12 audit_sha256=a6d97024586c4eae20d455856bc117b4d3b7417ef9d77ec52239abd9a85b5c9c content_sha256=398a136b9140c51df39cf9f5ba55e3b5e426e969d36912dd7e220a4d3d95ef89 schema_version=S84+
# audit_sha256_short=a6d97024586c4eae content_sha256_short=398a136b9140c51d # S87-W1B-HK-3-D-EFF-CONVENTION-AUDIT dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-W1B-HK-3-D-EFF-CONVENTION-AUDIT 3-tuple annotation (S87 schema-v2)
S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE: PASS -- value=4 scheme=textual-citation-recite convention=convention-pending-S87-W1B-HK-3 L_max=NA audit_sha256=6b307e85a8023b5cc6f26ef34cc8a379d9f6c72edc68d7deca132802ea375c55 content_sha256=962e9236861cfdd5724562ccd2d475dceab61f189bc6a97a48257799f4f815dc schema_version=S84+
# audit_sha256 companion row: S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE audit=6b307e85a8023b5c content=962e9236861cfdd5 3-tuple sign=N/A magnitude=PASS regime=VALID
S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE: PASS -- value=0 scheme=textual-citation-recite convention=convention-pending-S87-W1B-HK-3 L_max=NA audit_sha256=d37e9a2b5b46b3892de486ac0eae985f89a44c47698a8719a27f6fea78882be3 content_sha256=962e9236861cfdd5724562ccd2d475dceab61f189bc6a97a48257799f4f815dc schema_version=S84+
# audit_sha256 companion row: S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE audit=d37e9a2b5b46b389 content=962e9236861cfdd5 3-tuple sign=N/A magnitude=PASS regime=VALID
S87-ALPHA-S-CMB-S4-WATCH: PASS -- value='quarterly_poll_logged' scheme=external-publication-poll convention=cmb-s4-publication-stream + cmb-hd-macinnis-companion L_max=N/A audit_sha256=e0434a49e794fe3beb892796dc5159dbebf29331baada7a6d6ee44ad7efd45fb content_sha256=5e7dc67880f9d635bc4637c0661eb7bdcd1bee735e2e29738f9b613b6a11e4b7 schema_version=S84+
# audit_sha256_short=e0434a49e794fe3b content_sha256_short=5e7dc67880f9d635 # S87-ALPHA-S-CMB-S4-WATCH dual-SHA companion row (W9a-99 split); poll_quarter=2026-Q2; poll_date=2026-04-28; n_streams_polled=3; n_hits_total=13; n_hits_publishing_sigma_alpha_s_below_threshold=0; sigma_alpha_s_falsifier_threshold=0.0023; sigma_alpha_s_published_this_quarter=0.0063; branch=CONTINUE-WATCH; next_poll_target=2026-07-28; sister_logs=cmb-hd-alpha-s-poll-log.md+alpha-s-structural-protection.md
S87-W1B-HK-1-PV-MPMATH-VERIFY: PASS -- value=5.766440497349327e-49 scheme=mpmath-50dp-Mellin-Dirichlet convention=substrate-finite-L-spectrum L_max=12 audit_sha256=42a18902fe15b5547b10629dd5dd6838bd97385d80d96ead1ec0df0e63fa6ba7 content_sha256=fd1c3cd58be22323744226a2fab5c3a4efc64eb516c5c3c3092e9c7c4cbe46a7 schema_version=S84+
# audit_sha256_short=42a18902fe15b554 content_sha256_short=fd1c3cd58be22323 # S87-W1B-HK-1-PV-MPMATH-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-W1B-HK-1-PV-MPMATH-VERIFY 3-tuple annotation (S87 schema-v2)
S87-W1B-HK-6-RICHARDSON-FORM-CANONICALIZE: PASS -- value=0.0 scheme=Richardson-canonical-lstsq-Lneg3 convention=substrate-L-axis-asymptotic L_max=14 audit_sha256=237a2d590b05c27386463caf32a3e6cd0c38f21967fb0949180613125c7522d5 content_sha256=3947f4bc07197c4f26916e124127ee7785fc76b08d169b5540dc8bb348863021 schema_version=S84+
# audit_sha256_short=237a2d590b05c273 content_sha256_short=3947f4bc07197c4f # S87-W1B-HK-6-RICHARDSON-FORM-CANONICALIZE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-W1B-HK-6-RICHARDSON-FORM-CANONICALIZE 3-tuple annotation (S87 schema-v2)
S87-PATH-H-PATH-C-INTERPOLATION: PASS -- value='paper_artifact_present_with_interpolation_construction' scheme=Path-H-Path-C-interpolation convention=L1-L3-boundary-identification-canonical L_max=10 audit_sha256=556be5d1379abd59f70689db1134fe3e35d77f1d6165707f04155f5fc02e4965 content_sha256=6b28313f0ac048483cd36b3686b7165a0a13e59b943a60e2ff5ffa4c5bf8e894 schema_version=S84+
# audit_sha256_short=556be5d1379abd59 content_sha256_short=6b28313f0ac04848 # S87-PATH-H-PATH-C-INTERPOLATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-PATH-H-PATH-C-INTERPOLATION 3-tuple annotation (S87 schema-v2)
S87-ALPHA-S-K-RUNNING-NEAR-K-SAT: PASS -- value='delta_alpha_K_sat=+8.586379e-02;boundary_K_horizon=+2.049e-04;mono_viol_frac=0.0440' scheme=GGE-saturation-crossover convention=BdG-spectral-triple-K-window-3-decade-log L_max=10 audit_sha256=52bdaffc9d37d8b76248eaa3106ea12b9e2ec19ed784ff21022fa27b31b7ca96 content_sha256=3420deda6fd53256dfb484d6a1ddbd85da7007d0d768f4136dda847d30fb9815 schema_version=S87+
# audit_sha256_short=52bdaffc9d37d8b7 content_sha256_short=3420deda6fd53256 # S87-ALPHA-S-K-RUNNING-NEAR-K-SAT dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S87-ALPHA-S-K-RUNNING-NEAR-K-SAT 3-tuple annotation (S87 schema-v2)
S87-LAB-3HE-B-ALPHA-S-EQUIVALENT: PASS -- value='paper_artifact_present_with_substrate_IS_prediction' scheme=single-pole-Mellin-substrate-distance-1 convention=inheritance-morphism-3He-B-BdG-canonical L_max=10 audit_sha256=1f38f9888538011cea9b71cbd0c09853b4dc7dd0e47a46e769d371eb5084f383 content_sha256=bde3ad80d7622260e8b635af06b230b88da8d7bddd77a0b2a9ab99a8f416d389 schema_version=S84+
# audit_sha256_short=1f38f9888538011c content_sha256_short=bde3ad80d7622260 # S87-LAB-3HE-B-ALPHA-S-EQUIVALENT dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-LAB-3HE-B-ALPHA-S-EQUIVALENT 3-tuple annotation (S87 schema-v2)
S87-ALPHA-S-DIRECT-MOMENT-INDEPENDENT-ROUTE: FAIL -- value='-7.046336e+00' scheme=GGE-Bogoliubov-occupation-variance convention=horizon-crossing-K-window-canonical L_max=10 audit_sha256=099ccb2c9db3fffac497d0973d89397c240d302fac808a53ae9f1eb775d8d8b2 content_sha256=71fdbedd7a4357170e21226a8b85f51bf0be6a8f895d5428aef4d01f9b37b6f0 schema_version=S84+
# audit_sha256_short=099ccb2c9db3fffa content_sha256_short=71fdbedd7a435717 # S87-ALPHA-S-DIRECT-MOMENT-INDEPENDENT-ROUTE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S87-ALPHA-S-DIRECT-MOMENT-INDEPENDENT-ROUTE 3-tuple annotation (S87 schema-v2)
S87-A4-A2-PIVOT-STATIONARITY-PIN: PASS -- value='R_residual=5.748782e-04_A=-2.220e-16_B=5.748782e-04_PIN_DRIFT_class_c_s62_filename_PLACEHOLDER_class_f_tau_pivot' scheme=Mellin-substrate-distance-1 convention=tau-flow-pivot-residual-canonical L_max=10 audit_sha256=fed73014cd2250afaec23e816846fc50caa2c4d0b4524bae6607054f2bf13b38 content_sha256=a3021b29d9f081e625a0b75d8afcdc25e4699e59189830dd65976a1268694b03 schema_version=S84+
# audit_sha256_short=fed73014cd2250af content_sha256_short=a3021b29d9f081e6 # S87-A4-A2-PIVOT-STATIONARITY-PIN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S87-A4-A2-PIVOT-STATIONARITY-PIN 3-tuple annotation (S87 schema-v2)
# NOTES: PIN-DRIFT-class-c on plan filename `s62_a4_a2_ratio.npz`; substrate-canonical source = `s62_sector_energy_ratio.npz` (used). PIN-PLACEHOLDER-class-f on `tau_pivot=0.198` (not in canonical_constants nor knowledge MCP); plan §W2-5.6 placeholder used. # S87-A4-A2-PIVOT-STATIONARITY-PIN SOURCE-RECON companion (S87 W2-5)
