## S96 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 16 (+ 17 in workshops/)
## Total edges (deduped): 76
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:96:session-96-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist / Workhorse-NCG)'
[EDGE:authored_by] gates:96:session-96-w1-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='**Agent**: `van-den-dungen-bridge-theorist`'
[EDGE:authored_by] gates:96:session-96-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:96:session-96-w1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (physics authored); recovery r'
[EDGE:authored_by] gates:96:session-96-w2-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w2-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:96:session-96-w3-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w3-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:96:session-96-w4-workingpaper.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w4-workingpaper.md | match='**Agent**: `neutrino-detection-specialist`'
[EDGE:authored_by] gates:96:session-96-w4-workingpaper.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w4-workingpaper.md | match='**Agent**: `dirac-antimatter-theorist`'
[EDGE:authored_by] gates:96:session-96-w5-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w5-workingpaper.md | match='**Agent**: `schwarzschild-penrose-geometer`'
[EDGE:authored_by] gates:96:session-96-w5-workingpaper.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w5-workingpaper.md | match='**Agent**: `berry-geometric-phase-theorist`'
[EDGE:authored_by] gates:96:session-96-w5-workingpaper.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w5-workingpaper.md | match='**Agent**: `kaluza-klein-theorist`'
[EDGE:authored_by] gates:96:session-96-w6-workingpaper.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w6-workingpaper.md | match='**Agent**: `cosmic-web` (falsifier-inventory row written by `mack-cosmic-bridge`'
[EDGE:authored_by] gates:96:session-96-w6-workingpaper.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w6-workingpaper.md | match='**Agent**: `little-red-dots` (transit-dynamics supplies the dispersion; falsifie'
[EDGE:authored_by] gates:96:session-96-w7-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:96:session-96-w7-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (spectral-functional axis owns t'
[EDGE:authored_by] gates:96:session-96-w7-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='**Agent**: `hawking-theorist` (black-hole-thermodynamics / surface-gravity axis '
[EDGE:authored_by] gates:96:session-96-w7-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='**Agent**: `sagan-empiricist` (empiricism / evidence-discipline axis owns the jo'
[EDGE:authored_by] gates:96:session-96-w7-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w7-workingpaper.md | match='**Agent**: `van-den-dungen-bridge-theorist` (NCG↔Kasparov bridge axis owns the c'
[EDGE:authored_by] gates:96:session-96-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w8-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:96:session-96-w8-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-96/session-96-w8-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q10-bdg-gap-vs-yang-mills.md | match='## Round 2 — landau'
[EDGE:participates_in] researchers:loop-quantum-gravity-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q2-lqc-bounce-vs-transit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q2-lqc-bounce-vs-transit.md | match='lqg (loop-quantum-gravity-theorist)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q2-lqc-bounce-vs-transit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q2-lqc-bounce-vs-transit.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:string-theory-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='string-theory (string-theory-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:string-theory-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='## Round 1 — string-theory'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:string-theory-theorist -> data_provenance:sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/session-96-NYT-Q7-ncg-dof-vs-m-theory.md | match='## Round 2 — string-theory'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w1-q-omega-band-divergence.md | match='## Round 2 — volovik'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w2-fi-vs-rd-demarcation.md | match='## Round 3 — volovik'
[EDGE:participates_in] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='little-red-dots (little-red-dots-jwst-analyst)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 1 — little-red-dots'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 2 — little-red-dots'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 3 — little-red-dots'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w3-omega-gw-acoustic-spectral-shape.md | match='## Round 3 — mack'
[EDGE:participates_in] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='little-red-dots (little-red-dots-jwst-analyst)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='## Round 1 — little-red-dots'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='## Round 1 — hawking'
[EDGE:authored_round] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='## Round 2 — little-red-dots'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w4-d2-cosmogenesis-monist-vs-two-stage.md | match='## Round 2 — hawking'
[EDGE:participates_in] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='sagan (sagan-empiricist)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='## Round 1 — sagan'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='## Round 2 — sagan'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-96/workshops/w5-d3-rank1-vs-rank2-covariance.md | match='## Round 2 — mack'
