## S101 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 101
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:101 -> gates:CF-S102-VIIAM-L2L3-RECON  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='### CF-S102-VIIAM-L2L3-RECON — §VII.AM Level-2/Level-3 envelope-row reconciliati'
[EDGE:anchored_in] gates:S101-W3-QUARK-COMPONENT-ORIENTATION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W3-QUARK-COMPONENT-ORIENTATION: INFO'
[EDGE:anchored_in] gates:S101-ENVELOPE-CARRIER-DISCRIMINATE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-ENVELOPE-CARRIER-DISCRIMINATE: PASS'
[EDGE:anchored_in] gates:S101-W3-S0-KNOB -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W3-S0-KNOB: PASS'
[EDGE:anchored_in] gates:S101-CCS-MODELC-KO-DERIVATION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-CCS-MODELC-KO-DERIVATION: INFO'
[EDGE:anchored_in] gates:S101-D5-MD-GAPEQ -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-D5-MD-GAPEQ: INFO'
[EDGE:anchored_in] gates:S101-NU-DIRAC-OFFDIAG-TEXTURE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-NU-DIRAC-OFFDIAG-TEXTURE: FAIL'
[EDGE:anchored_in] gates:S101-KAPPA-NU-GREYBODY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-KAPPA-NU-GREYBODY: INFO'
[EDGE:anchored_in] gates:S101-Z3-PHASE-REPHASING-INVARIANCE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-Z3-PHASE-REPHASING-INVARIANCE: PASS'
[EDGE:anchored_in] gates:S101-NU-DIRAC-ENVELOPE-MAP -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-NU-DIRAC-ENVELOPE-MAP: INFO'
[EDGE:anchored_in] gates:S101-PS-RGE-MODELC-SIN2-MZ -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-PS-RGE-MODELC-SIN2-MZ: INFO'
[EDGE:anchored_in] gates:S101-M0-BCS-SCREENING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-M0-BCS-SCREENING: INFO'
[EDGE:anchored_in] gates:S101-H0-PROPER-A2 -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-H0-PROPER-A2: PASS'
[EDGE:anchored_in] gates:S101-W0-BRANCH-IV-EVALUATOR -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W0-BRANCH-IV-EVALUATOR: INFO'
[EDGE:anchored_in] gates:S101-W1-QEQ-SELFCONS -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W1-QEQ-SELFCONS: PASS'
[EDGE:anchored_in] gates:S101-W1-QEQ-RELIC-ODDFLOOR -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-W1-QEQ-RELIC-ODDFLOOR: FAIL'
[EDGE:anchored_in] gates:S101-TRICRITICAL-ADJACENCY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-TRICRITICAL-ADJACENCY: PASS'
[EDGE:anchored_in] gates:S101-BETA-PIVOT-PROMOTION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-BETA-PIVOT-PROMOTION: PASS'
[EDGE:anchored_in] gates:S101-LRD-SELECTION-REVERIFY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-LRD-SELECTION-REVERIFY: PASS'
[EDGE:anchored_in] gates:S101-B2-ISOTROPY-BREAKING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-B2-ISOTROPY-BREAKING: INFO'
[EDGE:anchored_in] gates:S101-AF1-MODE-A-ABSOLUTE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-AF1-MODE-A-ABSOLUTE: FAIL'
[EDGE:anchored_in] gates:S101-LADDER-COMPOSITION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-LADDER-COMPOSITION: INFO'
[EDGE:anchored_in] gates:S101-FOAM-PROTECTION-REGISTRY-LANDING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-FOAM-PROTECTION-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S101-HK-PMNS-PIN-PROMOTION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-HK-PMNS-PIN-PROMOTION: PASS'
[EDGE:anchored_in] gates:S101-DUAL-Z3-REGISTRY-LANDING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-DUAL-Z3-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S101-VIIBM-STATEPROJ-LANDING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-VIIBM-STATEPROJ-LANDING: PASS'
[EDGE:anchored_in] gates:S101-HPARITY-STAGE1-REGISTRATION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-HPARITY-STAGE1-REGISTRATION: PASS'
[EDGE:anchored_in] gates:S101-ROUTE-D-SURVIVING-BLOCK-LANDING -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-ROUTE-D-SURVIVING-BLOCK-LANDING: PASS'
[EDGE:anchored_in] gates:S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION: PASS'
[EDGE:anchored_in] gates:S101-Y1-ZERO-PERMANENCE-LINE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-Y1-ZERO-PERMANENCE-LINE: PASS'
[EDGE:anchored_in] gates:S101-CONNES-STATEPROJ-STAGE2-VERIFY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-CONNES-STATEPROJ-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S101-SCHUR-RIGIDITY-STAGE2-VERIFY -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-SCHUR-RIGIDITY-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S101-HK-SELECTION-RULE-PREFLIGHT-AUDIT -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-HK-SELECTION-RULE-PREFLIGHT-AUDIT: PASS'
[EDGE:anchored_in] gates:S101-MULT-CANCELLATION-DETECTOR-LAB-IN-AXIS -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-MULT-CANCELLATION-DETECTOR-LAB-IN-AXIS: PASS'
[EDGE:anchored_in] gates:S101-HK-SELECTION-RULE-PREFLIGHT-RULE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-HK-SELECTION-RULE-PREFLIGHT-RULE: PASS'
[EDGE:anchored_in] gates:S101-HK-SUFFIX-DISCIPLINE -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-HK-SUFFIX-DISCIPLINE: PASS'
[EDGE:anchored_in] gates:S101-COMPOSITE-PRECEDENCE-RULE-EXTENSION -> sessions:101  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-101/s101_gate_verdicts.txt | match='S101-COMPOSITE-PRECEDENCE-RULE-EXTENSION: PASS'
[EDGE:cited_in] researchers:volovik-superfluid-universe-theorist -> sessions:101  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/session-101/session-101-w3-workingpaper.md | match='researchers/Volovik/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:101  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/session-101/session-101-w3-workingpaper.md | match='researchers/Connes/'
[EDGE:succ_of] gates:S101-W3-LC-POLE-CERT -> gates:S101-TAU0-OPERATOR-CANONICITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-2. S101-W3-LC-POLE-CERT'
[EDGE:succ_of] gates:S101-W3-PRONGB-WINDOWED -> gates:S101-W3-LC-POLE-CERT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-3. S101-W3-PRONGB-WINDOWED'
[EDGE:succ_of] gates:S101-VIIAM-ALPHA-ENVELOPE-PIN -> gates:S101-W3-PRONGB-WINDOWED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-4. S101-VIIAM-ALPHA-ENVELOPE-PIN'
[EDGE:succ_of] gates:S101-ENVELOPE-CARRIER-DISCRIMINATE -> gates:S101-W2-BLOCKTRACE-WIDENING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-2. S101-ENVELOPE-CARRIER-DISCRIMINATE'
[EDGE:succ_of] gates:S101-W3-S0-KNOB -> gates:S101-ENVELOPE-CARRIER-DISCRIMINATE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-3. S101-W3-S0-KNOB'
[EDGE:succ_of] gates:S101-W3-QUARK-COMPONENT-ORIENTATION -> gates:S101-W3-S0-KNOB  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-4. S101-W3-QUARK-COMPONENT-ORIENTATION'
[EDGE:succ_of] gates:S101-STAR-METRIC-BLOCK-LEMMA -> gates:S101-W3-QUARK-COMPONENT-ORIENTATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-5. S101-STAR-METRIC-BLOCK-LEMMA'
[EDGE:succ_of] gates:S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY -> gates:S101-STAR-METRIC-BLOCK-LEMMA  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-6. S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY'
[EDGE:succ_of] gates:S101-NU-DIRAC-OFFDIAG-TEXTURE -> gates:S101-NU-DIRAC-ENVELOPE-MAP  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-2. S101-NU-DIRAC-OFFDIAG-TEXTURE'
[EDGE:succ_of] gates:S101-KAPPA-NU-GREYBODY -> gates:S101-NU-DIRAC-OFFDIAG-TEXTURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-3. S101-KAPPA-NU-GREYBODY'
[EDGE:succ_of] gates:S101-D5-MD-GAPEQ -> gates:S101-KAPPA-NU-GREYBODY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-4. S101-D5-MD-GAPEQ'
[EDGE:succ_of] gates:S101-Z3-PHASE-REPHASING-INVARIANCE -> gates:S101-D5-MD-GAPEQ  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-5. S101-Z3-PHASE-REPHASING-INVARIANCE'
[EDGE:succ_of] gates:S101-CCS-MODELC-KO-DERIVATION -> gates:S101-Z3-PHASE-REPHASING-INVARIANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-6. S101-CCS-MODELC-KO-DERIVATION'
[EDGE:succ_of] gates:S101-PS-RGE-MODELC-SIN2-MZ -> gates:S101-CCS-MODELC-KO-DERIVATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-7. S101-PS-RGE-MODELC-SIN2-MZ'
[EDGE:succ_of] gates:S101-W1-QEQ-RELIC-ODDFLOOR -> gates:S101-W1-QEQ-SELFCONS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-2. S101-W1-QEQ-RELIC-ODDFLOOR'
[EDGE:succ_of] gates:S101-W0-BRANCH-IV-EVALUATOR -> gates:S101-W1-QEQ-RELIC-ODDFLOOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-3. S101-W0-BRANCH-IV-EVALUATOR'
[EDGE:succ_of] gates:S101-H0-PROPER-A2 -> gates:S101-W0-BRANCH-IV-EVALUATOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-4. S101-H0-PROPER-A2'
[EDGE:succ_of] gates:S101-M0-BCS-SCREENING -> gates:S101-H0-PROPER-A2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-5. S101-M0-BCS-SCREENING'
[EDGE:succ_of] gates:S101-LADDER-COMPOSITION -> gates:S101-BETA-PIVOT-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-2. S101-LADDER-COMPOSITION'
[EDGE:succ_of] gates:S101-TRICRITICAL-ADJACENCY -> gates:S101-LADDER-COMPOSITION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-3. S101-TRICRITICAL-ADJACENCY'
[EDGE:succ_of] gates:S101-B2-ISOTROPY-BREAKING -> gates:S101-TRICRITICAL-ADJACENCY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-4. S101-B2-ISOTROPY-BREAKING'
[EDGE:succ_of] gates:S101-AF1-MODE-A-ABSOLUTE -> gates:S101-B2-ISOTROPY-BREAKING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-5. S101-AF1-MODE-A-ABSOLUTE'
[EDGE:succ_of] gates:S101-LRD-SELECTION-REVERIFY -> gates:S101-AF1-MODE-A-ABSOLUTE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-6. S101-LRD-SELECTION-REVERIFY'
[EDGE:succ_of] gates:S101-DUAL-Z3-REGISTRY-LANDING -> gates:S101-FOAM-PROTECTION-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-2. S101-DUAL-Z3-REGISTRY-LANDING'
[EDGE:succ_of] gates:S101-VIIBM-STATEPROJ-LANDING -> gates:S101-DUAL-Z3-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-3. S101-VIIBM-STATEPROJ-LANDING'
[EDGE:succ_of] gates:S101-HPARITY-STAGE1-REGISTRATION -> gates:S101-VIIBM-STATEPROJ-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-4. S101-HPARITY-STAGE1-REGISTRATION'
[EDGE:succ_of] gates:S101-ROUTE-D-SURVIVING-BLOCK-LANDING -> gates:S101-HPARITY-STAGE1-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-5. S101-ROUTE-D-SURVIVING-BLOCK-LANDING'
[EDGE:succ_of] gates:S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION -> gates:S101-ROUTE-D-SURVIVING-BLOCK-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-6. S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION'
