## S61 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 15 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:61:session-61-berry-relook.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-berry-relook.md | match='**Author**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] gates:LANDAU-4 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### LANDAU-4: Fermi Liquid Parameters with Josephson Coupling (landau-condensed-'
[EDGE:authored_by] gates:LANDAU-8 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### LANDAU-8: Ginzburg Criterion for the CC Staircase (landau-condensed-matter-t'
[EDGE:authored_by] gates:CONNES-1 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### CONNES-1: Spectral Zeta Zero Location (connes-ncg-theorist)'
[EDGE:authored_by] gates:CONNES-2 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### CONNES-2: Level Spacing Statistics at the Fold (connes-ncg-theorist)'
[EDGE:authored_by] gates:CONNES-3 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### CONNES-3: Functional Equation and J-Symmetry Constraints (connes-ncg-theoris'
[EDGE:authored_by] gates:CONNES-4 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-61/session-61-wave2-workingpaper.md | match='### CONNES-4: Heat Kernel Trace Formula — Geometric Side (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave7-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave7-workingpaper.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave7-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave7-workingpaper.md | match='hawking (hawking-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave8-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave8-workingpaper.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave8-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave8-workingpaper.md | match='nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave9-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave9-workingpaper.md | match='quantum-acoustics (quantum-acoustics-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-61/session-61-wave9-workingpaper.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-61/session-61-wave9-workingpaper.md | match='connes (connes-ncg-theorist)'
