## S63 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 23 (+ 0 in workshops/)
## Total edges (deduped): 103
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:63:cc-path-a.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-63/cc-path-a.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-phonon-mack-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-phonon-mack-workshop.md | match='## Round 2 — phonon-first'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-vdd-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-vdd-hawking-workshop.md | match='vdd (van-den-dungen-bridge-theorist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-vdd-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-vdd-hawking-workshop.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-vdd-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-vdd-hawking-workshop.md | match='## Round 1 — hawking'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-vdd-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-vdd-hawking-workshop.md | match='## Round 2 — hawking'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='van-den-dungen (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='## Round 1 — Van-den-Dungen'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-63/session-63-volovik-van-den-dungen-workshop.md | match='## Round 2 — Van-den-Dungen'
[EDGE:authored_by] gates:W1-01 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-01: MUKHANOV-SASAKI-63 — Full Mode Equation for n_s (quantum-acoustics-th'
[EDGE:authored_by] gates:W1-02 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-02: KK-THRESHOLD-63 — Higgs Mass Threshold Corrections to L=6 (baptista-s'
[EDGE:authored_by] gates:W1-03 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-03: QUANTUM-METRIC-63 — Peotta-Torma Bound on GGE Superfluid Weight (phon'
[EDGE:authored_by] gates:W1-04 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-04: SOUND-SPEED-63 — Jensen Sound Speed at Fold (tesla-resonance)'
[EDGE:authored_by] gates:W1-05 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-05: BLV-ACOUSTIC-63 — Acoustic Metric Cross-Check of epsilon_H (quantum-a'
[EDGE:authored_by] gates:W1-06 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W1-workingpaper.md | match='### W1-06: EPSILON-DECOMPOSE-63 — Slow-Roll Parameter by Seeley-DeWitt Order (ba'
[EDGE:authored_by] gates:W2-01 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-01: SHELL-HESSIAN-63 — Shell-by-Shell FRG Proxy (nazarewicz-nuclear-struc'
[EDGE:authored_by] gates:W2-02 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-02: TENSOR-SCALAR-63 — Tensor-to-Scalar Ratio r (schwarzschild-penrose-ge'
[EDGE:authored_by] gates:W2-03 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-03: F0-MATCHING-63 — Both f_0 Interpretations for m_H (einstein-theorist)'
[EDGE:authored_by] gates:W2-04 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-04: YUKAWA-HYBRID-63 — Generation-Dependent Overlaps at Hybridization Gap'
[EDGE:authored_by] gates:W2-05 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-05: TWO-LOOP-ESTIMATE-63 — Quartic SA Convergence Test (volovik-superflui'
[EDGE:authored_by] gates:W2-08 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W2-workingpaper.md | match='### W2-08: DDG-POWER-LAW-63 — Full 992-Mode KK Power-Law Running (kaluza-klein-t'
[EDGE:authored_by] gates:W3-01 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-01: LOCAL-ENTANGLE-63 — GGE Entanglement Entropy Across Rindler Cut (hawk'
[EDGE:authored_by] gates:W3-02 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-02: SPECTRAL-DIMENSION-63 — d_s Flow from 992 Eigenvalues (phonon-first-c'
[EDGE:authored_by] gates:W3-03 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-03: JACOBSON-GGE-63 — Jacobson Thermodynamic Derivation for Non-Thermal M'
[EDGE:authored_by] gates:W3-05 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-05: INTEG-BREAK-FABRIC-63 — Josephson Anisotropy and Integrability Breaki'
[EDGE:authored_by] gates:W3-06 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-06: FERMIONIC-QTHEORY-63 — Mixed Boson-Fermion CC Self-Tuning (hawking-th'
[EDGE:authored_by] gates:W3-07 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W3-workingpaper.md | match='### W3-07: SAKHAROV-HYBRID-63 — G_N from Coupled 45-Mode Spectrum (volovik-super'
[EDGE:authored_by] gates:W4-01 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-01: NS-ACOUSTIC-63 — n_s with Sound Speed Correction (quantum-acoustics-t'
[EDGE:authored_by] gates:W4-02 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-02: HIGGS-RUNNING-63 — 2-Loop SM RGE with KK Threshold Correction (einste'
[EDGE:authored_by] gates:W4-03 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-03: AS-AMPLITUDE-63 — Scalar Power Spectrum Amplitude A_s (mack-cosmic-br'
[EDGE:authored_by] gates:W4-04 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-04: PROTON-DECAY-63 — Pati-Salam tau_p via A-Tensor Selection Rule (hawki'
[EDGE:authored_by] gates:W4-05 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-05: EFOLD-COUNT-63 — Number of e-Folds from SA Potential Shape (schwarzsc'
[EDGE:authored_by] gates:W4-06 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-06: SWAMPLAND-ONELOOP-63 — de Sitter Conjecture at One-Loop Fold (kaluza-'
[EDGE:authored_by] gates:W4-07 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W4-workingpaper.md | match='### W4-07: BMA-NS-63 — Bayesian Model Average of n_s Methods (nazarewicz-nuclear'
[EDGE:authored_by] gates:W5-01 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-01: PHONON-DOS-63 — Van Hove Classification at Hybridization Gaps (tesla-'
[EDGE:authored_by] gates:W5-02 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-02: BERRY-KTHEORY-63 — Berry Phase at 16 Hybridization Crossings (tesla-r'
[EDGE:authored_by] gates:W5-05 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-05: DEBYE-FOLD-63 — Effective Debye Temperature at Fold (tesla-resonance)'
[EDGE:authored_by] gates:W5-07 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-07: CSDR-BRANCHING-63 — Forgacs-Manton CSDR Branching Rules (kaluza-klein'
[EDGE:authored_by] gates:W5-09 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-09: CUTOFF-MEISSNER-63 — Meissner Length vs Spectral Action Cutoff (quant'
[EDGE:authored_by] gates:W5-10 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W5-workingpaper.md | match='### W5-10: BLOCKING-GGE-63 — Odd-Particle Blocking of GGE Superfluid Weight (naz'
[EDGE:authored_by] gates:W6-01 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-01: NONLOCAL-CC-SPECTRAL-63 — CC Beyond Seeley-DeWitt (connes-ncg-theoris'
[EDGE:authored_by] gates:W6-02 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-02: GRAV-BACKREACT-63 — Gravitational Integrability Breaking (einstein-th'
[EDGE:authored_by] gates:W6-03 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-03: KK-CMB-TRANSFER-63 — Transfer Function KK to CMB (quantum-acoustics-t'
[EDGE:authored_by] gates:W6-04 -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-04: ONELOOP-NS-63 — One-Loop Correction to n_s (spectral-geometer)'
[EDGE:authored_by] gates:W6-05 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-05: BCS-GAUGE-AMPLIFY-63 — Non-Perturbative Higgs Threshold (landau-conde'
[EDGE:authored_by] gates:W6-06 -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-06: GILKEY-ONELOOP-63 — One-Loop Factorization Test (van-den-dungen-bridg'
[EDGE:authored_by] gates:W6-07 -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-07: PS-KASPAROV-63 — Pati-Salam Gauge Module Check (connes-ncg-theorist)'
[EDGE:authored_by] gates:W6-08 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-08: RICHARDSON-GAUDIN-N2-63 — Multi-Pair Integrability (landau-condensed-'
[EDGE:authored_by] gates:W6-09 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-09: STRUTINSKY-SHELL-63 — Nuclear-Regime Shell Structure (nazarewicz-nucl'
[EDGE:authored_by] gates:W6-10 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-10: SIGMA-STABILIZE-63 — Sigma Mass Without Fine-Tuning (kaluza-klein-the'
[EDGE:authored_by] gates:W6-11 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-11: WDM-FRACTION-63 — Warm DM from Normal Fraction (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W6-12 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-12: AB-PARAMETRIC-63 — Parametric Amplification Reheating (tesla-resonanc'
[EDGE:authored_by] gates:W6-13 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-13: BCS-SA-BRIDGE-63 — BCS to Spectral Action Coefficients (volovik-super'
[EDGE:authored_by] gates:W6-14 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-14: TRAPPED-SURFACE-12D-63 — Null Expansions in Full Spacetime (schwarzsc'
[EDGE:authored_by] gates:W6-15 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-15: GL-STABILITY-63 — Gregory-Laflamme Fiber Stability (schwarzschild-pen'
[EDGE:authored_by] gates:W6-16 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-16: DYNAMICAL-EXPONENT-63 — z from Phonon Bands (phonon-first-cosmologist'
[EDGE:authored_by] gates:W6-17 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-17: MODULI-DEPLETION-63 — Bogoliubov Depletion Fraction (nazarewicz-nucle'
[EDGE:authored_by] gates:W6-18 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-18: ALPHA-TRANSIT-63 — Fundamental Constant Variation (einstein-theorist)'
[EDGE:authored_by] gates:W6-19 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-19: SPECIES-SCALE-63 — EFT Validity Check (kaluza-klein-theorist)'
[EDGE:authored_by] gates:W6-20 -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-20: MOMENT-RECONSTRUCT-63 — Hausdorff Moment Inversion (spectral-geometer'
[EDGE:authored_by] gates:W6-21 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-21: MAXENT-GAUSSIAN-63 — Maximum Entropy Cutoff Proof (hawking-theorist)'
[EDGE:authored_by] gates:W6-22 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-22: GSL-HUBBLE-63 — Generalized Second Law Along Trajectory (hawking-theo'
[EDGE:authored_by] gates:W6-23 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-23: BOGOLIUBOV-CG24-63 — Mode-Resolved Squeezing (quantum-acoustics-theor'
[EDGE:authored_by] gates:W6-24 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-24: STAROBINSKY-R2-63 — R^2 Inflation Connection (einstein-theorist)'
[EDGE:authored_by] gates:W6-25 -> researchers:kaluza-klein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-25: KK-REDUCE-4D-63 — 4D Effective Action Extraction (kaluza-klein-theori'
[EDGE:authored_by] gates:W6-26 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-26: LEGGETT-FABRIC-63 — Leggett-BA Coupling on Fabric (volovik-superfluid'
[EDGE:authored_by] gates:W6-27 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-27: TRANSIT-MODE-CASCADE-63 — k=0 Unstable Mode Tracking (schwarzschild-p'
[EDGE:authored_by] gates:W6-28 -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-28: EIH-BCS-3PN-63 — Post-Newtonian Structure Coefficients (einstein-theo'
[EDGE:authored_by] gates:W6-29 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-29: DM-CUTOFF-63 — Small-Scale Power Spectrum Cutoff (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W6-30 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W6-workingpaper.md | match='### W6-30: ISLAND-KK-63 — Island Formula on Internal Geometry (hawking-theorist)'
[EDGE:authored_by] gates:W7-02 -> researchers:knowledge-weaver  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-63/session-63-W7-workingpaper.md | match='### W7-02: Knowledge Index Update (knowledge-weaver)'
