## S68 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 43
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-landau-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-landau-transit-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W1-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W1-D: RG Correction Propagation into Mode Functions (gen-physicist)'
[EDGE:authored_by] gates:W2-A -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W2-A: Combined A_s From All Channels (gen-physicist)'
[EDGE:authored_by] gates:W2-B -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W2-B: Combined n_s From Acoustic Transfer + BCS + RG (gen-physicist)'
[EDGE:authored_by] gates:W2-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W2-C: Fisher Forecast for w_0 = -0.918, w_a = 0 (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W2-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W2-D: Fisher Forecast for f_NL = 1.03, Folded Shape (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W2-E -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W2-E: LiteBIRD Detectability of r = 0.0071 with Blue n_T (mack-cosmic-bridge'
[EDGE:authored_by] gates:W3-A -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W3-A: CMB-Scale r from Combined Scalar + Tensor Transfer (quantum-acoustics-'
[EDGE:authored_by] gates:W3-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W3-B: Observable Imprint of Second Sound (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W3-C -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W3-C: Gauge Coupling Implications of 29.8% a_4 Correction (gen-physicist)'
[EDGE:authored_by] gates:W3-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W3-D: Isocurvature Mode Through Acoustic Transfer (gen-physicist)'
[EDGE:authored_by] gates:W4-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W4-A: Consolidated Observational Prediction Table (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W5-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W5-A: ISW Tracking Signature Test (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W5-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-results-workingpaper.md | match='### W5-E: Bell-GGE Entanglement Test (einstein-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-68/session-68-volovik-mack-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-68/session-68-volovik-mack-workshop.md | match='## Round 3 — Volovik'
[EDGE:authored_by] data_provenance:68:session-68-workshops-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:68:session-68-workshops-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] data_provenance:68:session-68-workshops-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] gates:68:session-68-workshops-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] data_provenance:68:session-68-workshops-mack-collab.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:68:session-68-workshops-mack-collab.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] data_provenance:68:session-68-workshops-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:68:session-68-workshops-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] data_provenance:68:session-68-workshops-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:68:session-68-workshops-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:68:session-68-workshops-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] gates:68:session-68-workshops-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-68/session-68-workshops-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
