## S67 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 3 (+ 0 in workshops/)
## Total edges (deduped): 32
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:W1-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W1-A: TRANSIT-PS-67 -- Full Bogoliubov Power Spectrum Through the Fold (tran'
[EDGE:authored_by] gates:W3-D -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W3-D: EFT-MATCHING-67 -- Spectral Moments to Cheung EFT Operators (baptista-'
[EDGE:authored_by] gates:W4-A -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W4-A: HIGGS-ZETA-67 -- Higgs Mass in Zeta Action (lizzi-spectral-functional-'
[EDGE:authored_by] gates:W4-B -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W4-B: CONSERVATION-HIERARCHY-TEST-67 -- eps_H Under Conservation Constraints'
[EDGE:authored_by] gates:W4-C -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W4-C: SPECTRAL-ENDPOINT-67 -- Functional Interpolation Continuity (spectral-'
[EDGE:authored_by] gates:W4-E -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W4-E: ISOCURVATURE-67 -- Non-Adiabatic Fraction from Leggett Channel (hawkin'
[EDGE:authored_by] gates:W5-A -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W5-A: FINITE-SIZE-SCALING-67 -- eps_H Scheme Dependence at Higher L_max (bap'
[EDGE:authored_by] gates:W5-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W5-B: VHS-CLASSIFY-67 -- Van Hove Singularity Type at Fold (landau-condensed'
[EDGE:authored_by] gates:W5-C -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W5-C: WGC-SATURATION-67 -- Weak Gravity Conjecture Saturation Test (einstein'
[EDGE:authored_by] gates:W5-D -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W5-D: FLOQUET-POST-TRANSIT-67 -- Parametric Resonance Check (kitaev-quantum-'
[EDGE:authored_by] gates:W5-E -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W5-E: VOLOVIK-Q-A0-67 -- Conserved Vacuum Variable for a_0 Topological Secto'
[EDGE:authored_by] gates:W6-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W6-A: MULTI-LEVEL-LZ-67 -- Multi-Level Landau-Zener Through van Hove (transi'
[EDGE:authored_by] gates:W6-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W6-B: ACOUSTIC-TENSOR-TRANSFER-67 -- Tensor Bogoliubov Through Acoustic Whit'
[EDGE:authored_by] gates:W6-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W6-D: FOLD-CURVATURE-RATIO-67 -- Fold-Local Universality Test (gen-physicist'
[EDGE:authored_by] gates:W7-A -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W7-A: FABRIC-PROJECTED-MOMENTS-67 -- Beyond-Mean-Field a_2 on Josephson-Coup'
[EDGE:authored_by] gates:W7-B -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W7-B: GGE-TWO-FLUID-67 -- Generalized Landau-Khalatnikov with GGE Normal Com'
[EDGE:authored_by] gates:W7-D -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W7-D: SUB-GAP-FUNCTIONAL-SCAN-67 -- Sub-Gap Check for Surviving Functionals '
[EDGE:authored_by] gates:W7-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-67/session-67-results-workingpaper.md | match='### W7-E: BCS-4PT-WILSON-67 -- BCS Quasiparticle Wilson Coefficients vs EFT-hedr'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-67/session-67-transit-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-67/session-67-transit-phonon-first-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-67/session-67-transit-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-67/session-67-transit-phonon-first-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-67/session-67-transit-phonon-first-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-67/session-67-transit-phonon-first-workshop.md | match='## Round 1 — Phonon-First'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-67/session-67-transit-phonon-first-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-67/session-67-transit-phonon-first-workshop.md | match='## Round 2 — Phonon-First'
