row_idx,class,short_id,verdict_full_id,V_rows,sha_kind,sha_value,substrate_note
11,Methodology,W3-13 CP^2 1.21%,S85-W3-CF-3-MULTI-VALUED-LANDAU-OP,V.8,s85_verdict,7797753ee13c648e0993262db99760b4e2081e3c150e430cfc2222819b7b03a7,Methodology FAIL by sub-1.21% threshold; PRDR pinning of c_sub clarifies
12,Observability,W0-2 folded bispectrum,S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE,V.6,s85_verdict,d3b2df03092aa1c777af0a29612a10008bed8a96cc623be7b049065cc283b335,Substrate-correct but observationally closed at near-term 21cm instruments
13,Observability,W0-18 LiteBIRD rescue,S85-LITEBIRD-RESCUE,V.6,partition_anchor,7ea1012404cda0efa98ca0c1114057ac5b96ab3dc2cded9617778830b7e3b5ae,Predicted observable below LiteBIRD detector reach; A_s band registry pre-registers
14,Observability,W0-21 n_T two-speed (54%),S85-CF-M7-N_T-TWO-SPEED-RE-ADJUDICATION,V.6,partition_anchor,a3b3fd66e2e9b7c89bc64f2a452d507625fac73a812af37e9ac3791bc9259132,54% shift exceeds Tier-3 30% band; Tier-4 factor-2 frozen prediction registers Path-H/Path-C
15,Observability,W3-7 A_s under strict 30%,S85-W3-CF-1-BRANCH-A-A_S-CLOSURE-K2035,V.6,partition_anchor,37ec6f0ce2c66b579ea62a857e42351e8be0bdbdb7ad692a75e662d681cc2b1c,57% Planck-overshoot exceeds Tier-3 30%; FROZEN-PREDICTION-DISCIPLINE-COMMIT pre-registers
16,Observability,W4-* PRE-REG-INC (Fisher PDFs),S85-W4-FISHER-PRE-REG-INC,V.6,partition_anchor,5dfc567a76749cbf48d7796b9f01484245ef3bbd8d6c5addbf5940ba7639019e,External Fisher source unavailable for the 5/10 detector-Fisher slot; A_s band frozen-pin
17,Infrastructure,W0-14 canonical entries 0/5,S85-CANONICAL-ENTRY-CONSOLIDATION,V.12,s85_verdict,e58e12e628c02d441700b321fbd500413b8cec52645ebd333981f8934cbd090e,5 missing canonical entries; mechanical canonical_constants.py append
18,Infrastructure,W0-15 W5-64 absent,S85-W5-64-CANONICAL-ABSENT,V.12,partition_anchor,43d5319440970fc762463de37dfcbc7dd1738bf88aa5c63f0ba9ff5b38c29d83,Missing W5-64 canonical entry; co-located with V.12 5-entry consolidation
19,Infrastructure,W0-17 K-floor/wall registry absent,S85-K-FLOOR-WALL-JOINT-REGISTRY-LANDING,V.13,s85_verdict,bb488eb01d68f3572df166ded9d78f54ba25b994668e1382d72c7fb04c863faa,registry file + canonical_constants entries for K_floor/K_wall absent; mechanical write
20,Infrastructure,W0-19 Mellin compliance 1/9,S85-MELLIN-TEMPLATE-COMPLIANCE-LIFT,V.16,s85_verdict,ff89a21b4d144479326365c26c76aef184da1223492655f2b78092dbf5754221,8 non-compliant Mellin scripts; 5-marker W6-71 boilerplate lift
21,Infrastructure,W0-24 R3 schema 9.2%,S85-HOOK-WIRING-R3-YAML-NORMALIZATION,V.15,s85_verdict,70aa9929039252a4ca7f3314ad40478e64051acac1fb38ce2c231477c7586ba6,Schema-version R3 tag absent in 90% of S85 plan gate-blocks; auto-patch script
22,Infrastructure,W2-13 PSG 11.2 length 10.5x,S85-W2-13-PSG-LENGTH,V.15,partition_anchor,79643c664bbbd271c3ef3bfebba00a538be766322c34897c4fc78b77951e4997,PSG 11.2 macro length exceeds template envelope by 10.5x; templating refactor
23,Infrastructure,W4-1 Fisher 5/10,S85-W4-1-FISHER-COVERAGE,V.6,partition_anchor,8c967fef688a45cbcc60e7895a32cf5d0fd0cd19b0cd27fd1b36290ab407aee0,5/10 detector-Fisher pairs missing PDF-pin; pre-registration completeness deferred
24,Infrastructure,W1c-3 vocab 2193 sites,S85-W1c-HISTORICAL-ALPHA-S-USAGE-AUDIT,V.14,partition_anchor,f9bde907c7c708b6d8d02d4fa9cf8e0acbe6b437ac0fdacb259d8d4195ee781f,2193 alpha_s ambiguous-classifier sites; classifier window narrow-band remediation
25,PRE-REG-INC,W1b-6 MacInnis no sigma(alpha_s),S85-W1b-6-MACINNIS-PRE-REG-INC,V.6,partition_anchor,d15a71f836a396cd91f11a05d99865664136303d4eba0937f06a6b02523e7783,External-source-existence FAIL; cited PDF lacks sigma(alpha_s) row -- physics unevaluated
26,PRE-REG-INC,W1b-7 Hazumi no sigma(alpha_s),S85-W1b-7-HAZUMI-PRE-REG-INC,V.6,partition_anchor,ab13a752d071c2b7917194884a4ee9af0ddc97feec02740bbda2c717fe7e4a0c,External-source-existence FAIL; cited PDF lacks sigma(alpha_s) row -- physics unevaluated
27,PRE-REG-INC,W4-3 DESI DR3 Fisher PDF absent,S85-W4-3-DESI-DR3-PRE-REG-INC,V.6,s85_verdict_prefix,df97da6a315c6af39e21c06e550e5ab4d991a546d762415256b3d18cb04480ad,Source PDF not at expected path; fetch + SHA-pin + re-emit per V.6 pre-reg discipline
28,PRE-REG-INC,W4-6 detector Fisher PDFs 0/5,S85-W4-6-DETECTOR-FISHER-PRE-REG-INC,V.6,partition_anchor,7cc1249d18087447cb7eb81c7c29a6796c121b16267fb5dfd40b03b87b295c81,"0/5 detector Fisher PDFs present; physics is unevaluated, not refuted"
