## Theorem & Closed-Mechanism -> Constants Edges
## Generated by tools/harvest_theorem_closure_edges.py
## Source: tools/knowledge.db (theorems.statement + closed_mechanisms.closed_by)
## Vocabulary: computations/_shared/canonical_constants.py public names
## Match rule: word-boundary regex (\b<name>\b) AND vocab membership
## Edge type: bounds (theorem/closure cites a constant in its statement/note)

[EDGE:bounds] theorems:proven_66 -> constants:M_Z  # theorem statement cites M_Z (Step 2 (substitution): at τ_fold = 0.190, 3/(3 + e^{12·0.190}) = 0.234803 exactly; M_Z + M_H_framework = 91.1876 + 97.0  | Step 2 (substitution): at τ)
[EDGE:bounds] theorems:proven_679 -> constants:PROVENANCE  # theorem statement cites PROVENANCE (Gate**: `S86-W0-KR5-KCRIT-PROVENANCE`. PASS iff `mcp__knowledge__get_constant("K_R5")` returns the W8-7 + W8-2 provenanc | Gate**: `S86-W0-KR5-KCRIT-P)
[EDGE:bounds] theorems:proven_680 -> constants:K_R5  # theorem statement cites K_R5 (Effort**: 0.25 plan slots (very small; two `update_constant` calls + one verification call). Recommended for S86 W0 hous | Effort**: 0.25 plan slots ()
[EDGE:bounds] theorems:proven_680 -> constants:K_crit  # theorem statement cites K_crit (Effort**: 0.25 plan slots (very small; two `update_constant` calls + one verification call). Recommended for S86 W0 hous | Effort**: 0.25 plan slots ()
[EDGE:bounds] theorems:proven_690 -> constants:M_KK  # theorem statement cites M_KK (Python-verified `ξ_J / ξ_E_GGE(L=12)` | | M_KK)
[EDGE:bounds] theorems:proven_691 -> constants:tau_fold  # theorem statement cites tau_fold (knowledge MCP get_constant `tau_fold` | | N_pair)
[EDGE:bounds] theorems:proven_698 -> constants:tau_fold  # theorem statement cites tau_fold (Inputs**: §VII.B draft from this synthesis (§VII.B Draft below); SHA closures from W5-1, W5-2, W5-4, W5-5, W5-6, W2-7; c | Inputs**: §VII.B draft from)
[EDGE:bounds] theorems:proven_703 -> constants:K_FIRAS  # theorem statement cites K_FIRAS (W3-1 PIXIE K_FIRAS regulator-invariance** (PASS, 5-regulator spread = 0 by γ=1 lockout fixed point): μ(K_FIRAS) = 8.6949 | W3-1 PIXIE K_FIRAS regulato)
[EDGE:bounds] theorems:proven_704 -> constants:c_S_canon  # theorem statement cites c_S_canon (W3-5 two-speed transfer identity c_S_canon = f_B** (PASS, machine precision): max|ratio−1| = 0.000e+00 across all 5 regu | W3-5 two-speed transfer ide)
[EDGE:bounds] theorems:proven_705 -> constants:K_crit  # theorem statement cites K_crit (W3-9 Ginzburg OZ mean-field validity** (PASS, Gi(K_crit) = 5.50e-10): 10-OOM margin from c_fabric³ suppression in (xi_0· | W3-9 Ginzburg OZ mean-field)
[EDGE:bounds] theorems:proven_718 -> constants:K_FIRAS  # theorem statement cites K_FIRAS (W3-4 K-regulator map functoriality** (PASS, closure defect 2.5e−16): 5-regulator atlas is functorial on the K-corridor e | W3-4 K-regulator map functo)
[EDGE:bounds] theorems:proven_718 -> constants:K_R5  # theorem statement cites K_R5 (W3-4 K-regulator map functoriality** (PASS, closure defect 2.5e−16): 5-regulator atlas is functorial on the K-corridor e | W3-4 K-regulator map functo)
[EDGE:bounds] theorems:proven_718 -> constants:K_crit  # theorem statement cites K_crit (W3-4 K-regulator map functoriality** (PASS, closure defect 2.5e−16): 5-regulator atlas is functorial on the K-corridor e | W3-4 K-regulator map functo)
[EDGE:bounds] theorems:proven_774 -> constants:alpha_s_framework_central  # theorem statement cites alpha_s_framework_central (CC-v | Yes (`alpha_s_framework_central` imported))
[EDGE:bounds] theorems:proven_776 -> constants:beta_s  # theorem statement cites beta_s (`beta_s = −0.1331` | `beta_s = −0.1331`)
[EDGE:bounds] theorems:proven_832 -> constants:c_fabric  # theorem statement cites c_fabric (c_fabric (line 250)**: has derivation comment "(S42 s42_gradient_stiffness)" in-line. Adequate. | c_fabric (line 250)**: has derivation comment "(S42 )
[EDGE:bounds] theorems:proven_833 -> constants:M_KK  # theorem statement cites M_KK (c_Gold (line 307)**: has in-line comment "(M_KK units)" but `mcp__knowledge__get_constant("c_Gold")` returns **no sessio | c_Gold (line 307)**: has in)
[EDGE:bounds] theorems:proven_833 -> constants:c_Gold  # theorem statement cites c_Gold (c_Gold (line 307)**: has in-line comment "(M_KK units)" but `mcp__knowledge__get_constant("c_Gold")` returns **no sessio | c_Gold (line 307)**: has in)
[EDGE:bounds] theorems:proven_834 -> constants:c_Gold_over_c_fabric  # theorem statement cites c_Gold_over_c_fabric (c_Gold_over_c_fabric (line 308)**: has an extensive provenance comment ("R-PROTECTED — 229x hierarchy; eigenvalue gradie | c_Gold_over_c_fabric (line )
[EDGE:bounds] theorems:proven_835 -> constants:xi_BCS  # theorem statement cites xi_BCS (xi_BCS, xi_GL (lines 192-193)**: have in-line attribution "(s37_instanton_mc, high precision)" — adequate but not MCP-le | xi_BCS, xi_GL (lines 192-19)
[EDGE:bounds] theorems:proven_835 -> constants:xi_GL  # theorem statement cites xi_GL (xi_BCS, xi_GL (lines 192-193)**: have in-line attribution "(s37_instanton_mc, high precision)" — adequate but not MCP-le | xi_BCS, xi_GL (lines 192-19)
[EDGE:bounds] theorems:proven_872 -> constants:phi_paasch  # theorem statement cites phi_paasch (phi_paasch at tau = 0.15 | PERMANENT)
[EDGE:bounds] theorems:proven_887 -> constants:M_KK  # theorem statement cites M_KK (Little Red Dots** (Section 2.2): Notes that reaching k ~ 0.1 h/Mpc would require M_KK ~ 0.1 eV (a ~1 mm compactification | Little Red Dots** (Section )
[EDGE:bounds] theorems:proven_936 -> constants:omega_att  # theorem statement cites omega_att (Jensen metric oscillation at fold | | omega_att)
[EDGE:bounds] theorems:proven_937 -> constants:omega_PV  # theorem statement cites omega_PV (BCS attempt frequency | | omega_PV)
[EDGE:bounds] theorems:proven_980 -> constants:sigma_8  # theorem statement cites sigma_8 (f*sigma_8(z): 4% suppression vs LCDM, correct S_8 direction | f*sigma_8(z): 4% suppression vs LCDM, correct S_8 direction)
[EDGE:bounds] theorems:proven_999 -> constants:K_R5  # theorem statement cites K_R5 (Step 2 (substitution). The W2-4 positivity wall is K ≥ 1 (from `n_k ≥ 0`, applied to `S_IC = 1 + 2n_k`). The W3-G38 5-co | Step 2 (substitution). The )
[EDGE:bounds] theorems:proven_1001 -> constants:K_R5  # theorem statement cites K_R5 (Step 4 (direction). The 5-convention floor exceeds the K=1 floor by `1.922/1 = 1.922` (the same as K_R5). Both floors ex | Step 4 (direction). The 5-c)
[EDGE:bounds] theorems:proven_1003 -> constants:K_R5  # theorem statement cites K_R5 ((b) The K_R5 = 1.922 minimum is from B2 (flat band, lowest gap-to-temperature ratio) — band B2 has the lowest x = Delta_ | (b) The K_R5 = 1.922 minimu)
[EDGE:bounds] theorems:proven_1059 -> constants:M_Z  # theorem statement cites M_Z (AF SM COUPLINGS (§W8-87a)**: g_1, g_2, g_3(M_Z) from A_F + Chamseddine-Connes a_4 BC + 1-loop RGE match PDG to 1.16% max | AF SM COUPLINGS (§W8-87a)**)
[EDGE:bounds] theorems:proven_1071 -> constants:K_R5  # theorem statement cites K_R5 (PASS | Locks K_R5 = 1.9222 as L_max-converged (canonical_constants.py).)
[EDGE:bounds] theorems:proven_1073 -> constants:S_inst  # theorem statement cites S_inst (Permanent ledger entry — `Tr f(D_K/Λ)` perturbative ledger has a non-perturbative IR-contribution floor incompatible with `S_inst < 4.34`. | `S85-W9-F)
[EDGE:bounds] theorems:proven_1096 -> constants:phi_paasch  # theorem statement cites phi_paasch (phi_paasch ratio at tau = 0.15 | phi_paasch ratio at tau = 0.15)
[EDGE:bounds] theorems:proven_1106 -> constants:S_inst  # theorem statement cites S_inst (S_inst = 0.069 | Quantum critical point | S38 | 29 | PROVEN)
[EDGE:bounds] theorems:proven_1111 -> constants:G_N  # theorem statement cites G_N (G_N | Effective mass / response coeff. | S44 W1-1 | 11 | PROVEN (factor 2.3))
[EDGE:bounds] theorems:proven_1119 -> constants:E_cond  # theorem statement cites E_cond (Euler deficit = E_cond | Gibbs-Duhem violation | S44 W6-5 | 05 | OPEN)
[EDGE:bounds] theorems:proven_1125 -> constants:xi_GL  # theorem statement cites xi_GL (L/xi_GL = 0.031 | Ultrasmall grain limit | S38 | 17, 36 | PROVEN)
[EDGE:bounds] theorems:proven_1126 -> constants:E_cond  # theorem statement cites E_cond (E_vac/E_cond = 28.8 | BEC regime of crossover | S37 | 22 | PROVEN)
[EDGE:bounds] theorems:proven_1127 -> constants:omega_att  # theorem statement cites omega_att (omega_att = 1.430 | Pair vibration frequency | S37 | 23 | PROVEN)
[EDGE:bounds] theorems:proven_1157 -> constants:c_Gold  # theorem statement cites c_Gold (229x sound speed hierarchy: c_fabric/c_Gold = 229.5, giving 2.72 acoustic e-folds | 229x sound speed hierarchy: c_fabric/c_Gold = 229.5, giving 2.72 a)
[EDGE:bounds] theorems:proven_1157 -> constants:c_fabric  # theorem statement cites c_fabric (229x sound speed hierarchy: c_fabric/c_Gold = 229.5, giving 2.72 acoustic e-folds | 229x sound speed hierarchy: c_fabric/c_Gold = 229.5, giving 2.72 a)
[EDGE:bounds] theorems:proven_1159 -> constants:M_KK  # theorem statement cites M_KK (T_init = 0.112 * M_KK = 8.32e15 GeV | T_init = 0.112 * M_KK = 8.32e15 GeV)
[EDGE:bounds] theorems:proven_1181 -> constants:G_N  # theorem statement cites G_N (Volume-preserving constraint (det g(tau) = 1) | Volume-preserving constraint (det g(tau) = 1) | ASSUMED | Imposed; not derived. Consequence: G_N has z)
[EDGE:bounds] theorems:proven_1191 -> constants:S_inst  # theorem statement cites S_inst (Instanton gas description of transit | Instanton gas description of transit | CONDITIONAL | S_inst = 0.069, dense gas regime. Reclassified as quantum )
[EDGE:bounds] theorems:proven_1196 -> constants:M_KK  # theorem statement cites M_KK (eta (baryon asymmetry) from pair-breaking during transit | eta (baryon asymmetry) from pair-breaking during transit | CONDITIONAL | eta ~ 3.4e-9 (0.75)
[EDGE:bounds] theorems:proven_1198 -> constants:G_N  # theorem statement cites G_N (G_N from Sakharov induced gravity | G_N from Sakharov induced gravity | CONDITIONAL | Ratio 2.29 (0.36 OOM) at Lambda = 10 M_KK. Depends on effective )
[EDGE:bounds] theorems:proven_1198 -> constants:M_KK  # theorem statement cites M_KK (G_N from Sakharov induced gravity | G_N from Sakharov induced gravity | CONDITIONAL | Ratio 2.29 (0.36 OOM) at Lambda = 10 M_KK. Depends on effective )
[EDGE:bounds] theorems:proven_1234 -> constants:M_KK  # theorem statement cites M_KK (Filter-Independence of Tree-Level Higgs Mass** -- The CCM spectral action Higgs mass depends only on g_3^2(M_KK) and a_4/a_2, NOT on the cutoff functi)
[EDGE:bounds] theorems:proven_1287 -> constants:G_N  # theorem statement cites G_N ([NEW S45] G_N topological protection (2.5% variation) | [0, 0.50] | Structural | 45 | `s45_running_gn.py`)
[EDGE:bounds] theorems:proven_1291 -> constants:omega_L1  # theorem statement cites omega_L1 ([NEW S50] Phi crossing omega_L2/omega_L1 = phi_paasch at tau=0.211686 | 61-point scan | 4.4e-15 | 50 | `s50_leggett_phi_confirm.py`)
[EDGE:bounds] theorems:proven_1291 -> constants:omega_L2  # theorem statement cites omega_L2 ([NEW S50] Phi crossing omega_L2/omega_L1 = phi_paasch at tau=0.211686 | 61-point scan | 4.4e-15 | 50 | `s50_leggett_phi_confirm.py`)
[EDGE:bounds] theorems:proven_1291 -> constants:phi_paasch  # theorem statement cites phi_paasch ([NEW S50] Phi crossing omega_L2/omega_L1 = phi_paasch at tau=0.211686 | 61-point scan | 4.4e-15 | 50 | `s50_leggett_phi_confirm.py`)
[EDGE:bounds] theorems:proven_1304 -> constants:M_KK  # theorem statement cites M_KK ([NEW S62] Delta > 0.353 M_KK along softest Hessian direction | 20 points | 7.1x threshold | 62 | `s62_type_i_transit.py`)
[EDGE:bounds] theorems:proven_1346 -> constants:S_fold  # theorem statement cites S_fold (Effacement Ratio | Effacement Ratio |  | E_BCS | /S_fold = 3e-7. Defeats ALL BCS-derived corrections to w. | 42)
[EDGE:bounds] theorems:proven_1357 -> constants:phi_paasch  # theorem statement cites phi_paasch ([NEW S35] Poschl-Teller phi_paasch | [NEW S35] Poschl-Teller phi_paasch | 35 | Zero bound states, 18x short)
[EDGE:bounds] theorems:proven_1366 -> constants:M_KK  # theorem statement cites M_KK ([NEW S42] Polariton Higgs | [NEW S42] Polariton Higgs | 42 | Min gap 0.063 M_KK, 3.7e13x too large)
[EDGE:bounds] theorems:proven_1385 -> constants:E_cond  # theorem statement cites E_cond (ED-CORRECTED-35 | Exact diag BCS | E_cond = -0.1151 < 0 | 35)
[EDGE:bounds] theorems:proven_1388 -> constants:M_KK  # theorem statement cites M_KK (SAKHAROV-GN-44 | Induced gravity | Ratio 2.29 (0.36 OOM) at Lambda=10*M_KK | 44)
[EDGE:bounds] theorems:proven_1391 -> constants:omega_L1  # theorem statement cites omega_L1 (LEGGETT-MODE-48 | Sharp undamped mode | omega_L1 = 0.070, Q = 670,000 | 48-50)
[EDGE:bounds] theorems:proven_1393 -> constants:sigma_8  # theorem statement cites sigma_8 (SIGMA8-OZ-50 | sigma_8 viable | 0.799 (between Planck and lensing) | 50)
[EDGE:bounds] theorems:proven_1401 -> constants:phi_paasch  # theorem statement cites phi_paasch (phi_paasch: m_{(3,0)}/m_{(0,0)} | 1.531580 at tau = 0.15 (0.5 ppm) | 12, 22a QA-4 | Numerical)
[EDGE:bounds] theorems:proven_1413 -> constants:S_inst  # theorem statement cites S_inst ([NEW S37] S_inst = 0.069 | Dense instanton gas | 37 | Numerical)
[EDGE:bounds] theorems:proven_1414 -> constants:omega_att  # theorem statement cites omega_att ([NEW S37] omega_att = 1.430 (fully geometric) | Zero free parameters | 37-38 | Derived)
[EDGE:bounds] theorems:proven_1417 -> constants:T_acoustic  # theorem statement cites T_acoustic ([NEW S40] T_acoustic/T_Gibbs = 0.993 | Barcelo prescription, zero parameters | 40 | Structural)
[EDGE:bounds] theorems:proven_1418 -> constants:S_fold  # theorem statement cites S_fold ([NEW S42] Effacement ratio | E_BCS | /S_fold | 3e-7 | 42 | Structural)
[EDGE:bounds] theorems:proven_1430 -> constants:M_KK  # theorem statement cites M_KK ([NEW S48] Leggett mode omega_L1 = 0.070 M_KK | Below pair-breaking at ALL tau | 48 | Computed)
[EDGE:bounds] theorems:proven_1430 -> constants:omega_L1  # theorem statement cites omega_L1 ([NEW S48] Leggett mode omega_L1 = 0.070 M_KK | Below pair-breaking at ALL tau | 48 | Computed)
[EDGE:bounds] theorems:proven_1435 -> constants:omega_L1  # theorem statement cites omega_L1 ([NEW S50] omega_L2/omega_L1 = phi_paasch at tau=0.211686 | Machine precision, 61-point scan | 50 | Exact)
[EDGE:bounds] theorems:proven_1435 -> constants:omega_L2  # theorem statement cites omega_L2 ([NEW S50] omega_L2/omega_L1 = phi_paasch at tau=0.211686 | Machine precision, 61-point scan | 50 | Exact)
[EDGE:bounds] theorems:proven_1435 -> constants:phi_paasch  # theorem statement cites phi_paasch ([NEW S50] omega_L2/omega_L1 = phi_paasch at tau=0.211686 | Machine precision, 61-point scan | 50 | Exact)
[EDGE:bounds] theorems:proven_1437 -> constants:M_KK  # theorem statement cites M_KK ([NEW S51] K* = m_G/sqrt(J) = 0.087 M_KK | SA-Goldstone mixing threshold | 51 | Derived)
[EDGE:bounds] theorems:proven_1455 -> constants:phi_paasch  # theorem statement cites phi_paasch (phi_paasch status | Physical prediction (BF=5) | Mathematical property (BF=2) | 28)
[EDGE:bounds] theorems:proven_1460 -> constants:S_inst  # theorem statement cites S_inst ([NEW S39] Schwinger-instanton duality | S_Schwinger = S_inst (identity) | RETRACTED: GL ratio 4.08. Numerical coincidence, not identity. | 39)
